Sentence_ID,Review_ID,Date,Category,Sentiment_Score,Sentiment_Label
1,1,2/3/2017,Venue,0.90,positive
1,1,2/3/2017,Venue,0.80,positive
2,2,7/18/2017,Price,0.68,positive
3,3,10/31/2017,Food,0.62,positive
4,4,2/3/2016,Food,0.00,positive
5,5,5/27/2016,Food,0.00,positive
6,6,12/3/2016,Food,0.74,positive
6,6,12/3/2016,Price,0.74,positive
7,7,5/31/2017,Miscellaneous,0.78,positive
8,8,7/29/2017,Food,0.85,positive
9,9,1/3/2017,Venue,0.88,positive
10,10,11/27/2016,Venue,0.00,positive
10,10,11/27/2016,Price,0.00,positive
11,11,2/3/2015,Venue,0.85,positive
12,12,4/3/2015,Miscellaneous,-0.91,negative
13,13,11/15/2015,Venue,0.89,positive
14,14,9/3/2017,Price,-0.57,negative
15,1,2/3/2017,Food,-0.61,negative
16,2,7/18/2017,Price,0.00,positive
17,3,10/31/2017,Price,0.91,positive
17,3,10/31/2017,Food,0.91,positive
18,4,2/3/2016,Food,0.98,positive
19,5,5/27/2016,Venue,0.00,positive
20,6,12/3/2016,Venue,-0.70,negative
21,7,5/31/2017,Food,0.76,positive
22,8,7/29/2017,Food,0.76,positive
23,9,1/3/2017,Food,-0.55,negative
24,10,11/27/2016,Service,0.00,positive
25,11,2/3/2015,Service,-0.52,negative
26,12,4/3/2015,Service,0.84,positive
26,12,4/3/2015,Food,0.84,positive
